id,rmp_id,university_id,university_name,name,url,reviews,would_take_again,level_of_difficulty,average_rating,average_sentiment,tags
859,1779627,47,University of Houston,"Corsi, Aaron",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1779627&showMyProfs=true,8,50,2,5,0.63920893,"Respected,Participation matters,EXTRA CREDIT,Inspirational,Skip class? You won't pass.,Respected,Inspirational,Respected,Inspirational,Hilarious"
1546,2444419,76,California State Polytechnic University--Pomona,,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2444419&showMyProfs=true,5,80,2.8,5,0.49016239,
49,2095344,8,New York University,"Karaburun, Recep",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2095344&showMyProfs=true,7,100,3,5,0.61400481,"Inspirational,Gives good feedback,Respected,Caring,Group projects,Gives good feedback,Respected,Inspirational,Respected,Group projects,Caring,Gives good feedback,Inspirational,Clear grading criteria,Gives good feedback,Inspirational,ACCESSIBLE OUTSIDE CLASS,Gives good feedback,Inspirational,Hilarious,Gives good feedback,Respected,Inspirational"
70,2114131,9,Boston University,"Muller, Christopher",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2114131&showMyProfs=true,9,100,1.6,5,0.70555126,"Amazing lectures,Caring,Respected,Inspirational,Hilarious,Caring,Respected,Inspirational,Caring,Gives good feedback,Respected,Accessible outside class,Inspirational,Hilarious,Caring,Amazing lectures,Caring,GROUP PROJECTS,Respected,Inspirational,Amazing lectures,Respected,Amazing lectures,Caring,Respected,Hilarious,Amazing lectures"
132,2477319,14,Florida State University,"Dogru, Tarik",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2477319&showMyProfs=true,9,100,2.1,5,0.49189172,"Hilarious,EXTRA CREDIT,Skip class? You won't pass.,Respected,Participation matters,Gives good feedback,Accessible outside class,Clear grading criteria,Gives good feedback,Skip class? You won't pass.,Hilarious,Respected,Participation matters,Caring,Respected,Graded by few things,Amazing lectures,Skip class? You won't pass.,Hilarious,EXTRA CREDIT,Respected,Hilarious,EXTRA CREDIT,Skip class? You won't pass.,Clear grading criteria,Hilarious,Participation matters,Graded by few things,EXTRA CREDIT,Hilarious,Amazing lectures,EXTRA CREDIT"
297,1874702,25,Temple University,"Rosen, Ira",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1874702&showMyProfs=true,5,100,2.2,5,0.42234541,"Inspirational,Participation matters,Clear grading criteria,Gives good feedback,Caring,Gives good feedback,Respected,Participation matters,Inspirational,GRADED BY FEW THINGS,Caring,Inspirational,ACCESSIBLE OUTSIDE CLASS,Clear grading criteria"
412,2184928,30,University of South Carolina,"Xanthakos, jana",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2184928&showMyProfs=true,5,100,1.4,5,0.61469835,"Clear grading criteria,EXTRA CREDIT,Amazing lectures,Would take again,Gives good feedback,Gives good feedback,Respected,Inspirational,Clear grading criteria,EXTRA CREDIT,Clear grading criteria,Amazing lectures,Would take again"
446,1842238,31,DePaul University,"Avella, Mike",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1842238&showMyProfs=true,21,100,1.5,5,0.5472863,"Respected,Amazing lectures,Hilarious,Clear grading criteria,Caring,Graded by few things,Hilarious,Amazing lectures,Respected,Hilarious,Caring,Respected,ACCESSIBLE OUTSIDE CLASS,Clear grading criteria,Respected,Hilarious,Clear grading criteria,Respected,Clear grading criteria,Amazing lectures,Respected,Hilarious,Amazing lectures,Respected,Inspirational,Amazing lectures"
485,2287769,35,University of Nebraska--Lincoln,"Ammachathram, Ajai",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2287769&showMyProfs=true,10,100,2.4,5,0.52229769,"Caring,Inspirational,Clear grading criteria,Gives good feedback,Hilarious,Gives good feedback,Inspirational,Clear grading criteria,Gives good feedback,Hilarious,Caring,Clear grading criteria,Caring,Respected,Inspirational,Caring,Gives good feedback,Hilarious,Caring,Respected,Inspirational,Caring,Gives good feedback,Respected,Clear grading criteria,ACCESSIBLE OUTSIDE CLASS,Clear grading criteria,Hilarious,Respected,Inspirational,Caring,Inspirational,Hilarious,Caring"
519,2134294,37,San Diego State University,"Greenberg, Sue",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2134294&showMyProfs=true,6,100,2,5,0.46028098,"Hilarious,Caring,Amazing lectures,Gives good feedback,Inspirational,Gives good feedback,Respected,Accessible outside class,Gives good feedback,Hilarious,Amazing lectures,Inspirational,Hilarious,Caring,Clear grading criteria,Hilarious,Amazing lectures,Gives good feedback,Hilarious,Caring,Inspirational,Hilarious,Caring,Hilarious,Amazing lectures,Caring"
535,2317183,38,University of Alabama,"Blakey, Carla",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2317183&showMyProfs=true,7,100,1.7,5,0.56820795,"Skip class? You won't pass.,Caring,Accessible outside class,Participation matters,Amazing lectures,Accessible outside class,Inspirational,Caring,Respected,Accessible outside class,Caring,Skip class? You won't pass.,Amazing lectures,Caring,Gives good feedback,Skip class? You won't pass.,Amazing lectures,Participation matters,ACCESSIBLE OUTSIDE CLASS,Clear grading criteria,Gives good feedback,Participation matters,Skip class? You won't pass."
539,2247765,38,University of Alabama,"Shin, YeonHo",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2247765&showMyProfs=true,5,100,2.4,5,0.56340675,
627,2128791,41,University of Central Florida,"Eddy, Ronald Ray",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2128791&showMyProfs=true,22,100,2.1,5,0.62632356,"Caring,Group projects,Amazing lectures,Respected,Gives good feedback,Respected,Group projects,Caring,Hilarious,Amazing lectures,Caring,Respected,Group projects,Caring,Group projects,Clear grading criteria,Caring,Respected,Accessible outside class,Group projects,Gives good feedback,Respected,Hilarious,Inspirational,Group projects,Caring,Group projects,Caring,EXTRA CREDIT,Respected,Inspirational,Amazing lectures,Group projects,Amazing lectures,Caring,Gives good feedback,Skip class? You won't pass.,Amazing lectures,Gives good feedback,Caring,GROUP PROJECTS,Respected,Caring,GROUP PROJECTS,Gives good feedback,Respected,ACCESSIBLE OUTSIDE CLASS,Amazing lectures,Caring,Would take again,Clear grading criteria,Amazing lectures,Would take again,Hilarious,Amazing lectures,Caring,Gives good feedback,Respected,Caring,Amazing lectures,Caring,GROUP PROJECTS,Skip class? You won't pass.,Clear grading criteria,Amazing lectures"
642,2095146,41,University of Central Florida,"McGovern, Andrew",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2095146&showMyProfs=true,16,100,2.7,5,0.54033677,"Gives good feedback,Respected,Participation matters,Amazing lectures,Caring,Gives good feedback,Respected,Clear grading criteria,Respected,Caring,Gives good feedback,Skip class? You won't pass.,Amazing lectures,Gives good feedback,Respected,Participation matters,Participation matters,Skip class? You won't pass.,Caring,Gives good feedback,Get ready to read,Caring,Inspirational,Hilarious,Amazing lectures,Skip class? You won't pass.,Clear grading criteria,Amazing lectures,Gives good feedback,Get ready to read,Hilarious,Gives good feedback,Amazing lectures,EXTRA CREDIT,Respected,Participation matters,Amazing lectures,Gives good feedback,Participation matters,Amazing lectures,Gives good feedback,Respected,Caring,Respected,Hilarious,Caring"
677,2393386,41,University of Central Florida,"Bliznik, Sean",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2393386&showMyProfs=true,8,100,2.8,5,0.6721927,"Gives good feedback,Get ready to read,Inspirational,Clear grading criteria,Hilarious,Gives good feedback,Respected,Inspirational,Gives good feedback,Clear grading criteria,Amazing lectures,Get ready to read,Clear grading criteria,Hilarious,Get ready to read,Inspirational,Hilarious,Gives good feedback,Respected,Inspirational,Gives good feedback,Caring,Get ready to read,Skip class? You won't pass.,LOTS OF HOMEWORK"
789,1498500,45,University of Hawaii--Manoa,"Gershuni, Laura",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1498500&showMyProfs=true,13,100,1.9,5,0.5994478,"Caring,Participation matters,Would take again,Get ready to read,Skip class? You won't pass.,Participation matters,Clear grading criteria,GRADED BY FEW THINGS,Participation matters,Caring,GROUP PROJECTS"
912,1607003,48,Florida International University,"Drolet-Sadar, Patricia",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1607003&showMyProfs=true,15,100,1.3,5,0.72202396,"Caring,Inspirational,Clear grading criteria,Amazing lectures,Gives good feedback,Respected,Inspirational,Caring,Graded by few things,Clear grading criteria,Caring,Gives good feedback,Graded by few things,Clear grading criteria,Inspirational,Amazing lectures,Caring,Inspirational,Amazing lectures,Caring,Inspirational,Clear grading criteria,GROUP PROJECTS,Respected,Participation matters,Caring"
953,2416033,48,Florida International University,"Donato, Robert",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2416033&showMyProfs=true,5,100,2.2,5,0.49116669,"Respected,Group projects,Clear grading criteria,Gives good feedback,Participation matters,Respected,Group projects,Clear grading criteria,Group projects,Clear grading criteria,Gives good feedback,Respected,Participation matters,Respected,ACCESSIBLE OUTSIDE CLASS,Caring,Gives good feedback,Respected,Amazing lectures"
1078,1159210,51,Georgia State University,"Kaine, Evan",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1159210&showMyProfs=true,8,100,1.5,5,0.53593627,"Amazing lectures,Would take again,Clear grading criteria,Caring,Clear grading criteria,Amazing lectures,Would take again"
1144,1276072,56,Texas Tech University,"Blum, Shane",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1276072&showMyProfs=true,8,100,1.5,5,0.63343325,"Hilarious,Respected,Participation matters,Skip class? You won't pass.,Group projects,Respected,Skip class? You won't pass.,Hilarious,Participation matters,Clear grading criteria,Hilarious"
1163,311932,58,New Mexico State University,"Hartley, John",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=311932&showMyProfs=true,9,100,2.7,5,0.23927251,"Participation matters,Gives good feedback,Respected,Skip class? You won't pass.,Caring,Gives good feedback,Respected"
